step,mean,std,bootstrap025,bootstrap975
120000.0,-751.5419069925945,73.09536990337338,-774.5649864845404,-728.6032958409105
144000.0,-754.654615020752,73.09724827554977,-777.8024013615874,-732.7329694801118
168000.0,-750.0986152648926,76.0795151360541,-774.9476080934203,-727.3420640326873
192000.0,-752.19251759847,78.11384721385025,-777.4453268901805,-728.9176507397675
216000.0,-736.0322547912598,87.49444338299313,-763.7422589730228,-708.8807119973848
240000.0,-731.1056124369303,91.00032042684461,-759.5075518013526,-703.1060020016524
264000.0,-717.8070930480957,76.59501493895701,-741.3034388751264,-693.68792445072
288000.0,-727.380275217692,71.38329817639537,-748.6886158690446,-704.0631985865585
312000.0,-732.4630714416504,74.65155186572905,-754.5510604162133,-708.6430735484231
336000.0,-731.4085665384928,73.66276110661202,-753.0989712327532,-707.4921385649867
360000.0,-733.5072705586751,71.33565836037556,-754.5572268274541,-710.8853561973789
384000.0,-734.6411816914876,71.45730787191714,-755.8224356708715,-711.0305356086792
408000.0,-747.5538841247559,58.81869969794996,-765.9324199698381,-728.9588091682429
432000.0,-747.5200172424317,57.053608553692314,-764.8567501632605,-729.5741971993612
456000.0,-734.6636304219564,56.034929252436065,-752.0683682887994,-717.5477941413075
480000.0,-742.6121925354004,60.39429956923256,-760.4644141054522,-723.0410904173251
504000.0,-728.1972854614257,61.157125862658674,-747.1845916167362,-709.2938221269941
528000.0,-718.389599609375,61.99152817014966,-738.4988537606444,-699.4680977219422
552000.0,-715.1366694132487,63.30360067887028,-735.5832891570934,-695.8837854953839
576000.0,-709.9567906697591,60.28817992873245,-729.7440136504474,-692.1621362714857
600000.0,-708.469160715739,60.39382453775989,-728.4263459735688,-690.9036169678128
624000.0,-708.8113909403484,59.42183809170903,-728.2574715834762,-691.0467057165605
648000.0,-719.6574455261231,62.132222021416766,-739.15985362545,-700.6011106262782
672000.0,-712.7033022562663,58.55390430408232,-731.8980483650056,-695.0294916584239
696000.0,-710.5715812683105,60.47196395237868,-730.6199941492143,-692.4828156805248
720000.0,-712.4342707316081,60.88836207313618,-731.9282023224453,-694.0389161029419
744000.0,-714.0576700846354,60.73526555305726,-733.3712429146365,-695.4754171526878
768000.0,-706.5291997273764,61.17168201708554,-726.8112764813425,-688.5240893339585
792000.0,-695.46486714681,64.57567415853467,-716.5310242413825,-676.6954276553877
816000.0,-691.3419227600098,64.36135772589076,-711.924144426489,-671.8782279812634
840000.0,-675.5772265116373,58.96846969559072,-694.846721007167,-658.8163784715216
864000.0,-658.08962987264,54.19568431346944,-674.6630946692441,-640.689094445739
888000.0,-670.2865702311199,61.81186950041118,-688.8965401375787,-651.0234773861276
912000.0,-668.4146766662598,62.94729923476209,-687.04432351853,-648.7485004840975
936000.0,-672.6311637878418,68.36424637611047,-694.8798756537384,-651.8514295569896
960000.0,-676.4450848897299,68.32434727529156,-697.8458445238526,-654.9830628272947
