step,mean,std,bootstrap025,bootstrap975
120000.0,-2993.338392857143,38.79530508640767,-3000.0,-2966.7321428571427
144000.0,-2993.39765625,36.552816551220076,-2999.99296875,-2968.6748315081823
168000.0,-2993.39765625,36.552816551220076,-2999.9859375,-2969.4091808729345
192000.0,-2993.39765625,36.552816551220076,-2999.99296875,-2969.33671875
216000.0,-2993.39765625,36.552816551220076,-2999.9859375,-2970.11015625
240000.0,-2993.4046875,36.55405882126626,-3000.0,-2970.1171875
264000.0,-2993.4046875,36.55405882126626,-3000.0,-2970.890625
288000.0,-2993.4046875,36.55405882126626,-3000.0,-2970.890625
312000.0,-2999.2265625,4.830115639386261,-3000.0,-2997.6796875
336000.0,-3000.0,0.0,0.0,0.0
360000.0,-3000.0,0.0,0.0,0.0
384000.0,-3000.0,0.0,0.0,0.0
408000.0,-3000.0,0.0,0.0,0.0
432000.0,-3000.0,0.0,0.0,0.0
456000.0,-3000.0,0.0,0.0,0.0
480000.0,-3000.0,0.0,0.0,0.0
504000.0,-3000.0,0.0,0.0,0.0
528000.0,-3000.0,0.0,0.0,0.0
552000.0,-3000.0,0.0,0.0,0.0
576000.0,-3000.0,0.0,0.0,0.0
600000.0,-3000.0,0.0,0.0,0.0
624000.0,-3000.0,0.0,0.0,0.0
648000.0,-3000.0,0.0,0.0,0.0
672000.0,-3000.0,0.0,0.0,0.0
696000.0,-3000.0,0.0,0.0,0.0
720000.0,-3000.0,0.0,0.0,0.0
744000.0,-3000.0,0.0,0.0,0.0
768000.0,-3000.0,0.0,0.0,0.0
792000.0,-3000.0,0.0,0.0,0.0
816000.0,-3000.0,0.0,0.0,0.0
840000.0,-3000.0,0.0,0.0,0.0
864000.0,-3000.0,0.0,0.0,0.0
888000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
912000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
936000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
960000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
984000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
1008000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
1032000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
1056000.0,-2999.99296875,0.043910142176238745,-3000.0,-2999.97890625
1080000.0,-2993.35546875,41.495084356545604,-3000.0,-2980.06640625
1104000.0,-2993.35546875,41.495084356545604,-3000.0,-2980.06640625
1128000.0,-2993.35546875,41.495084356545604,-3000.0,-2980.06640625
1152000.0,-2993.35546875,41.495084356545604,-3000.0,-2980.06640625
1176000.0,-2993.35546875,41.495084356545604,-3000.0,-2980.06640625
1200000.0,-2993.35546875,41.495084356545604,-3000.0,-2980.06640625
1224000.0,-2987.0578125,56.43501194941371,-3000.0,-2961.8671875
1248000.0,-2987.0578125,56.43501194941371,-3000.0,-2961.5203125
1272000.0,-2993.4515625,39.3198751962569,-3000.0,-2974.037529566003
1296000.0,-2993.4515625,39.3198751962569,-3000.0,-2968.2609375
1320000.0,-2993.4515625,39.3198751962569,-3000.0,-2968.51171875
1344000.0,-2993.4515625,39.3198751962569,-3000.0,-2968.4798009563174
1368000.0,-2993.4515625,39.3198751962569,-3000.0,-2968.51171875
1392000.0,-2993.4515625,39.3198751962569,-3000.0,-2968.51171875
1416000.0,-2999.74921875,1.5661284042858483,-3000.0,-2999.24765625
1440000.0,-2999.74921875,1.5661284042858483,-3000.0,-2999.24765625
1464000.0,-3000.0,0.0,0.0,0.0
1488000.0,-3000.0,0.0,0.0,0.0
1512000.0,-3000.0,0.0,0.0,0.0
1536000.0,-3000.0,0.0,0.0,0.0
1560000.0,-3000.0,0.0,0.0,0.0
1584000.0,-3000.0,0.0,0.0,0.0
1608000.0,-3000.0,0.0,0.0,0.0
1632000.0,-3000.0,0.0,0.0,0.0
1656000.0,-3000.0,0.0,0.0,0.0
1680000.0,-3000.0,0.0,0.0,0.0
1704000.0,-3000.0,0.0,0.0,0.0
1728000.0,-3000.0,0.0,0.0,0.0
1752000.0,-3000.0,0.0,0.0,0.0
1776000.0,-3000.0,0.0,0.0,0.0
1800000.0,-3000.0,0.0,0.0,0.0
1824000.0,-3000.0,0.0,0.0,0.0
1848000.0,-3000.0,0.0,0.0,0.0
1872000.0,-3000.0,0.0,0.0,0.0
1896000.0,-3000.0,0.0,0.0,0.0
1920000.0,-3000.0,0.0,0.0,0.0
1944000.0,-3000.0,0.0,0.0,0.0
1968000.0,-3000.0,0.0,0.0,0.0
1992000.0,-3000.0,0.0,0.0,0.0
2016000.0,-3000.0,0.0,0.0,0.0
2040000.0,-3000.0,0.0,0.0,0.0
2064000.0,-3000.0,0.0,0.0,0.0
2088000.0,-3000.0,0.0,0.0,0.0
2112000.0,-3000.0,0.0,0.0,0.0
2136000.0,-3000.0,0.0,0.0,0.0
2160000.0,-3000.0,0.0,0.0,0.0
2184000.0,-3000.0,0.0,0.0,0.0
2208000.0,-3000.0,0.0,0.0,0.0
2232000.0,-3000.0,0.0,0.0,0.0
2256000.0,-3000.0,0.0,0.0,0.0
