step,wall_time,rollout/ep_env_rew_mean_mean,rollout/ep_env_rew_mean_std,rollout/ep_env_rew_mean_bootstrap025,rollout/ep_env_rew_mean_bootstrap975,rollout/ep_len_mean_mean,rollout/ep_len_mean_std,rollout/ep_len_mean_bootstrap025,rollout/ep_len_mean_bootstrap975,rollout/n_goal_reached_mean,rollout/n_goal_reached_std,rollout/n_goal_reached_bootstrap025,rollout/n_goal_reached_bootstrap975
40000,1690036255.9039378,-917.81015625,81.75183495751577,-940.7047979128546,-889.6321287003277,961.3408745659722,158.42711496153862,846.9034819454524,990.5994771321615,0.00625,0.027243118397129208,0.0,0.015625
48000,1690036345.822908,-909.40546875,78.84514976199368,-930.9349884439017,-882.3814265955145,988.2204467773438,26.126772681094593,977.539100739296,994.4579177645168,0.00625,0.027243118397129208,0.0,0.015625
56000,1690036435.9757652,-901.06171875,82.42673311734161,-924.1656456833311,-873.3394250965882,989.9689193725586,21.295941960919606,980.7754832468617,995.0549396403835,0.00625,0.027243118397129208,0.0,0.015625
64000,1690036526.1969757,-909.06015625,75.55371168247807,-930.1142494474416,-882.7163209783989,991.5301345825195,16.159464922019865,985.1185132161296,995.5707091523105,0.00625,0.027243118397129208,0.0,0.015625
72000,1690036616.6235776,-905.76953125,75.81496372732487,-927.1464227821472,-879.9471088360044,992.4210968017578,13.215150366363808,987.4052511335098,995.9465483317416,0.00625,0.027243118397129208,0.0,0.015625
80000,1690036707.3282228,-901.03984375,69.67280674258537,-921.5743408262347,-877.4405255466925,992.9810211181641,11.27372332496065,988.6460955340497,995.8748078681068,0.00625,0.027243118397129205,0.0,0.015625
88000,1690036798.1893666,-897.1243057250977,76.00439078115413,-918.9050152666177,-870.9285431197637,993.2191879272461,9.807277824812354,989.7089172666635,995.8237804585051,0.01180555559694767,0.043317972905924866,0.003125,0.03159722238779068
96000,1690036889.5148125,-884.3711807250977,86.21495830676388,-908.8623112430789,-855.0427264910901,992.9029373168945,9.363139077962318,989.5906750813823,995.4836493552237,0.01805555559694767,0.05702907005831846,0.003125,0.041726084273659994
104000,1690036981.2903695,-885.9508682250977,84.08913406085694,-909.3194671017017,-856.435230608707,992.6629974365235,9.294777311738203,989.414528743264,995.1851207072046,0.01805555559694767,0.05702907005831846,0.003125,0.04236111119389534
112000,1690037073.3501346,-870.2508682250976,90.3303595169785,-896.0122322123314,-840.396218487917,992.7050872802735,9.423411052829044,989.3984008387018,995.282097774686,0.01493055559694767,0.05444971468426182,0.003125,0.03854166679084301
120000,1690037165.8097363,-864.8774307250976,84.96858579092572,-889.832161606584,-836.2854210744874,992.3923370361329,9.645200256676338,988.925124041184,994.9941523928437,0.01805555559694767,0.05702907005831846,0.003125,0.04236111119389534
128000,1690037258.757394,-863.4321182250976,79.53160767028875,-887.2208348837848,-837.6894465884442,991.8686767578125,10.365319422685092,988.1609070401654,994.6045472515557,0.01805555559694767,0.05702907005831846,0.003125,0.04236111119389534
136000,1690037352.1719494,-866.2586807250976,78.861444946247,-889.2849077295064,-840.604017795024,991.2674057006836,11.06851464864793,987.2490403145017,994.192898676681,0.01805555559694767,0.05702907005831846,0.00555555559694767,0.04236111119389534
144000,1690037445.799538,-865.4587677001953,81.10131079645659,-888.5778469844278,-838.5809245918027,989.970246887207,11.765684082540124,985.8636211367339,993.1862484411574,0.02673611119389534,0.06699769546402166,0.009375,0.05326290652428568
152000,1690037540.0203013,-840.435676574707,99.10285735686719,-867.3156465517882,-805.7400332857006,988.0919967651367,13.385421265858367,983.382942179565,991.7721521782981,0.03784722276031971,0.08995602556613022,0.015625,0.07534722350537777
160000,1690037634.9781222,-823.2702255249023,107.15581739007395,-852.3632866962943,-786.091776795497,985.9127471923828,15.356193379444285,980.5747363879562,990.234151963704,0.04027777835726738,0.08924624527988528,0.01770833358168602,0.0746527787297964
168000,1690037730.3740296,-806.5991317749024,107.89399799526606,-837.7509766647905,-771.0331221431203,983.1182479858398,17.24588970032663,977.4052529900457,988.1454637989438,0.04652777835726738,0.09478848857900206,0.021875,0.08333333432674409
176000,1690037826.2717564,-824.0801208496093,114.36609912754602,-857.1648625147247,-784.666454808556,980.1599990844727,18.809332759109722,973.8676080175295,985.7001769046194,0.04930555615574121,0.09501208258971812,0.02430555559694767,0.08541666754431304
184000,1690037922.6894023,-825.662239074707,115.96537440009344,-858.0217128297681,-786.4440308347934,977.540249633789,20.047997146383082,971.15889221805,983.5150793966093,0.04895833395421505,0.0947598660942368,0.02500000037252903,0.08611111231148243
192000,1690038019.368411,-836.671614074707,124.27103367584104,-872.2693063087057,-794.5624283398708,975.4647506713867,20.66353576997938,968.8674206258146,981.608731507439,0.04583333395421505,0.094260443370544,0.022222222574055196,0.08263889029622078
200000,1690038116.3844724,-822.185676574707,121.22334224069127,-858.2704883414035,-783.0391633994901,973.2510009765625,21.243974146295415,966.8462520553013,979.7942471703176,0.05208333395421505,0.0951540961282479,0.02743055559694767,0.08854166797600815
208000,1690038213.913133,-830.8610580444335,126.55614910929835,-867.1726399695389,-789.1109293101387,971.3789993286133,22.17065783199436,964.4705509681845,977.9910055249071,0.04840277843177319,0.093802738958018,0.02479166705161333,0.08588742906492587
216000,1690038311.7462184,-843.62109375,113.34574243136878,-876.5368843907628,-806.9359956208996,969.490998840332,24.36257679038001,961.5795586145881,976.6704348190304,0.03923611156642437,0.07935209283446754,0.01958333346992731,0.07069444489356835
224000,1690038409.5064173,-849.2006072998047,107.77831722630113,-881.5235364697656,-813.9398198855176,968.3962493896485,26.250633585135095,959.7854826513094,975.9391208139011,0.0368055559694767,0.0750841875377866,0.01805555559694767,0.06617888783792804
232000,1690038507.6231027,-851.334635925293,105.91307203216112,-882.4618281719983,-816.4455581789927,966.4979995727539,29.206424894837948,956.3170390973077,974.4623515130877,0.04444444514811039,0.08641077089625865,0.02270833346992731,0.07884035406628769
240000,1690038606.2491932,-818.7032119750977,118.66132830038985,-854.7367197440517,-782.0446495344006,964.779248046875,30.878547524993696,954.2081044396961,973.7397494187165,0.05590277854353189,0.09417073983927429,0.030833333544433118,0.09013889022171498
248000,1690038705.4152827,-794.8394958496094,125.91518997878116,-833.5740618828333,-756.2111539422766,962.2509963989257,33.68723745791814,951.0029868698954,971.8966870720496,0.06944444496184587,0.10909454856005328,0.04062500018626451,0.10919586380418303
256000,1690038804.8482518,-769.6942703247071,109.18497016721388,-803.856075542809,-737.0704257281799,959.6537460327148,35.86872823494372,947.9884905875999,970.1145148718308,0.07777777835726737,0.11053496530477258,0.04826388899236918,0.1174999996531546
264000,1690038904.5331435,-766.5499130249024,119.10592456274783,-804.451009260999,-730.6210405886309,957.4122451782226,37.443236331834264,945.0834775976604,968.1732204173336,0.07430555615574122,0.11078554808914946,0.04444444440305233,0.11403701086828866
272000,1690039004.207911,-763.0516143798828,113.59735498472804,-799.6860657023798,-729.4449134826214,955.6594955444336,38.61100207767877,943.0813774513689,966.7618900447197,0.07208333387970925,0.10912097996223762,0.043055555783212185,0.11229082625413218
280000,1690039104.0370011,-755.1790138244629,129.233307818666,-795.8388423383203,-714.6407524351959,953.2822448730469,40.452362917226594,939.8111052409316,965.0963665959018,0.07867424301803112,0.11388390557347408,0.0482075417290331,0.12003287267776003
288000,1690039204.539618,-750.6737068176269,131.94227025616232,-790.6042497052284,-709.431342769585,948.9079940795898,44.54878741707794,933.7139875606765,961.4514166051853,0.09441336542367935,0.1250562276726546,0.0599264402156745,0.13728446729096871
