step,mean,std,bootstrap025,bootstrap975
120000.0,-897.2051854451496,75.81788811176874,-918.4086919910768,-871.4404787588393
144000.0,-885.2565745035809,71.35645281894507,-905.2312326965471,-860.7292209190435
168000.0,-884.4430328369141,68.11594687046416,-903.192832949012,-860.1615686121283
192000.0,-868.832389831543,73.942848501905,-890.1946366645764,-844.2369671215146
216000.0,-849.4493520100912,84.51460366371484,-872.9682252255092,-820.3953575771859
240000.0,-843.6205617268879,80.78671606867557,-867.2614671386601,-817.4391422285829
264000.0,-821.9005391438802,95.5364825948539,-850.0997888109272,-790.1686728816509
288000.0,-809.8373774210612,91.4775882857117,-837.1820523385106,-780.8243037017817
312000.0,-798.1867177327474,97.54729067284268,-827.3850108672821,-766.5756390198131
336000.0,-785.7156814575195,91.30312447495629,-812.6253144236539,-756.0635696951385
360000.0,-769.0559422810873,78.75864639105875,-792.4369636014501,-743.5684405311586
384000.0,-762.3297536214193,80.74447468534912,-786.190439146604,-736.3711983434058
408000.0,-763.1359878540039,78.1007694308189,-785.7774568368097,-737.8033893820417
432000.0,-757.5963709513346,79.59100788567552,-780.7172964815893,-731.2538876710105
456000.0,-766.9896578470866,87.23304757796639,-791.5912589289889,-736.9029423876705
480000.0,-752.3517717997233,100.85181379304218,-781.106305942746,-717.7063565682936
504000.0,-753.6406583150228,113.32107393435368,-784.9053462676144,-713.0289399812198
528000.0,-744.8524533589682,123.06044899442168,-777.2909645266388,-699.7140002788066
552000.0,-733.4391679128012,135.9280858167186,-769.2727494009342,-684.1041532930114
576000.0,-729.6995118459065,144.1875125386125,-768.2356540641214,-676.2674822698633
600000.0,-717.579649734497,152.95741346080578,-759.8488209059318,-663.5923689665015
624000.0,-700.1388093312582,158.7600409866252,-743.1099439220396,-641.1518397882706
648000.0,-691.8175296783447,160.78056078530074,-737.267512362746,-636.4302865914763
672000.0,-693.8317834218344,166.9460022884811,-738.9760682294966,-635.8431082589248
696000.0,-690.9944881439209,168.103902657848,-736.8135615418785,-631.7302962613203
720000.0,-686.3896043141683,172.43106250832705,-733.7708231482023,-626.2603005155511
744000.0,-688.1332349141438,176.98556936702724,-738.44383769073,-627.3384350263333
768000.0,-675.7578034718832,180.08338409111417,-728.3513113253094,-614.9623492697714
792000.0,-682.1222357432047,185.20671534681213,-734.8530305879057,-622.0070855991457
816000.0,-683.463027826945,181.25298226000476,-734.488361077785,-622.4262713308434
840000.0,-687.2023049672445,180.87720603367248,-737.7684226853504,-625.0220714342827
864000.0,-679.0923992156983,178.17085373606471,-728.0257306778527,-618.17922274104
888000.0,-669.2014654795328,180.51549633034827,-719.8479149331763,-608.0280071287461
912000.0,-667.6665691375732,181.81278667532376,-718.6863602871654,-608.0010329385544
936000.0,-657.1624145507812,176.4841294782329,-706.2447630192447,-595.3697509677571
960000.0,-662.8125593821208,178.26427512136746,-711.9926239686213,-602.0289501648901
984000.0,-658.273012415568,180.7783065087029,-709.1333117250205,-595.1861421231869
1008000.0,-645.4835147857666,185.29109070650924,-698.0681470524298,-584.3405906946687
1032000.0,-638.3841484069824,188.7547224234369,-692.1462336707011,-573.5428812530238
1056000.0,-631.1862477620443,195.32201216533508,-687.3138713170177,-565.635512756174
1080000.0,-636.6347385406494,202.36717151617407,-695.1078750110876,-566.7319397826268
1104000.0,-630.4251537322998,210.68945480651692,-688.7948081667292,-561.1439191960696
1128000.0,-622.2100622812907,211.29834759510535,-682.816857393785,-550.018205032274
1152000.0,-602.9140420277914,212.28444450349286,-663.8348598790666,-531.5240556292205
1176000.0,-585.5368192036947,211.73584409701286,-648.0857757161319,-516.8717147662928
1200000.0,-583.2935567220052,209.51219614589408,-644.2240615918872,-515.5815303846549
1224000.0,-563.5384078979492,206.20449008738686,-626.0383992121107,-499.7865791173968
1248000.0,-560.6239882151286,208.6120071052416,-622.3413613995446,-495.0343542442243
1272000.0,-537.7704418182373,200.98607050309363,-599.675424824899,-474.3264774479839
1296000.0,-525.6006033579508,193.75334861403434,-584.1003487832457,-465.0986627170486
1320000.0,-515.120493443807,195.11225072823635,-573.6014995760164,-455.06776179430193
1344000.0,-521.3701482137045,203.93735284860836,-582.7936919460443,-457.29654929360817
1368000.0,-514.0470090230306,204.00335992009843,-577.1776790685575,-448.7691470969136
1392000.0,-505.77394701639804,207.8085246151777,-570.38545671427,-441.72268280678287
