step,mean,std,bootstrap025,bootstrap975
120000.0,-832.3694480895996,63.8568989031277,-852.4209135909363,-812.7231250733598
144000.0,-820.4405563354492,61.79358962835563,-840.4081496037879,-801.9063034053768
168000.0,-820.8861811319987,61.25618159445616,-840.7860076611366,-802.5434010036856
192000.0,-816.9465983072917,57.21767009539995,-835.8719055574586,-800.4129480713381
216000.0,-816.0873102823892,55.41392474814535,-834.2908372976915,-799.5082128565015
240000.0,-816.1443857828775,52.48687090749359,-832.2720794995953,-800.047468703029
264000.0,-823.8177337646484,51.81974404147834,-839.2562411233815,-807.1021796263117
288000.0,-826.155462137858,53.26466768668037,-842.3709220630834,-809.7147863796611
312000.0,-828.1705891927082,53.90583666250711,-844.2772537953516,-811.055719212344
336000.0,-827.5757802327473,54.99180686390922,-844.0861947418047,-809.9641715080236
360000.0,-817.9368392944336,59.47228283787479,-836.0563985587628,-799.0236606781268
384000.0,-814.4524373372395,59.545093355363164,-832.3343164366355,-795.9737077158777
408000.0,-809.3322692871094,59.843386908855216,-828.477554109544,-790.946093366289
432000.0,-795.4311762491861,72.51548744489219,-816.9220778573264,-771.6117098135448
456000.0,-770.3768829345703,79.56021127729356,-793.4565963014891,-744.1855269211057
480000.0,-764.6504369099935,81.88102799537036,-788.2895828046771,-737.5543138951892
504000.0,-758.5383707682291,92.69425991137331,-784.9251660709784,-727.9594800756048
528000.0,-752.0397537231445,105.94829333449192,-781.6292068394446,-716.0790961411742
552000.0,-742.940837097168,117.1470588463507,-775.2453212732596,-701.9138378484273
576000.0,-731.6825139363607,127.32281338282588,-768.0187225843883,-689.4986479563834
600000.0,-717.2528579711914,136.65005433887026,-754.0908534003827,-669.7010908425101
624000.0,-713.2623982747397,148.2734336191704,-753.6145506728858,-661.4754953639105
648000.0,-712.5829569498698,155.69632648537848,-755.6442289641899,-656.3227055689489
672000.0,-693.6499379475911,170.62329889087275,-742.3214579222462,-635.8101071832166
696000.0,-671.2756195068359,171.21623985387137,-719.4193522517766,-613.518770420268
720000.0,-662.0225697835288,173.8981412008058,-709.7462712903184,-602.2553515151714
744000.0,-650.417788441976,173.91933207934636,-698.7983018743969,-590.0077351475641
768000.0,-635.2017171223958,171.0822842817061,-684.0095207598957,-578.0793128059655
792000.0,-618.5775909423828,169.00812585316822,-667.8821205174424,-561.1848501761864
