step,wall_time,rollout/ep_env_rew_mean,rollout/ep_len_mean,rollout/n_goal_reached
8000,1690035941.4774776,-995.3125,,0.0
16000,1690036028.3509874,-990.0625,1000.0,0.0
24000,1690036116.4092786,-970.5625,1000.0,0.0
32000,1690036205.460313,-857.6875,1000.0,0.0
40000,1690036297.669625,-729.4375,1000.0,0.0
48000,1690036388.1726532,-901.375,1000.0,0.0
56000,1690036474.7365406,-1000.0,1000.0,0.0
64000,1690036562.1958926,-999.25,1000.0,0.0
72000,1690036650.5978396,-984.90625,1000.0,0.0
80000,1690036741.1122558,-718.84375,1000.0,0.0
88000,1690036831.6257417,-902.4375,998.5555419921875,0.125
96000,1690036921.7987611,-995.5,998.6853637695312,0.0
104000,1690037014.024649,-906.34375,998.7938232421875,0.0
112000,1690037111.2432911,-705.4722290039062,985.4500122070312,0.2222222238779068
120000,1690037207.0811253,-670.15625,969.9400024414062,0.25
128000,1690037304.3635864,-914.40625,969.9400024414062,0.0
136000,1690037400.865977,-793.28125,969.9400024414062,0.0
144000,1690037495.7858906,-890.6875,969.9400024414062,0.0
152000,1690037593.0077617,-886.53125,963.6799926757812,0.125
160000,1690037690.8687108,-990.625,963.6799926757812,0.0
168000,1690037788.8072464,-906.25,963.6799926757812,0.0
176000,1690037893.45777,-553.861083984375,953.219970703125,0.3333333432674408
184000,1690037995.6083145,-747.75,945.3900146484375,0.125
192000,1690038097.038871,-906.25,945.3900146484375,0.0
200000,1690038199.4007475,-812.5,945.3900146484375,0.0
208000,1690038300.3442678,-897.71875,958.77001953125,0.0
216000,1690038402.6805944,-1000.0,974.280029296875,0.0
224000,1690038504.344303,-713.875,972.739990234375,0.125
232000,1690038610.6069412,-821.0499877929688,961.1699829101562,0.20000000298023224
240000,1690038713.5383873,-868.09375,961.1699829101562,0.0
248000,1690038815.4868429,-858.90625,967.4299926757812,0.0
256000,1690038925.8904512,-611.6666870117188,931.2000122070312,0.3333333432674408
264000,1690039032.0659864,-690.46875,931.72998046875,0.125
272000,1690039135.7302885,-690.5,923.6699829101562,0.125
280000,1690039239.0384138,-720.2222290039062,919.3800048828125,0.2222222238779068
288000,1690039340.8999615,-1000.0,919.3800048828125,0.0
296000,1690039441.8268573,-1000.0,919.3800048828125,0.0
304000,1690039545.412607,-940.28125,919.3800048828125,0.0
312000,1690039656.4353933,-662.522705078125,897.010009765625,0.27272728085517883
320000,1690039765.089843,-526.0681762695312,881.739990234375,0.27272728085517883
328000,1690039875.854599,-604.3541870117188,842.260009765625,0.4166666567325592
336000,1690039981.8590748,-813.625,842.260009765625,0.0
344000,1690040090.194662,-578.8250122070312,869.030029296875,0.20000000298023224
352000,1690040194.5422373,-728.4444580078125,861.3400268554688,0.2222222238779068
360000,1690040299.089247,-755.3055419921875,852.9299926757812,0.2222222238779068
368000,1690040406.6812832,-674.8333129882812,830.3699951171875,0.3333333432674408
376000,1690040512.3316004,-802.125,811.3200073242188,0.20000000298023224
384000,1690040621.405388,-424.6875,759.2899780273438,0.5833333134651184
392000,1690040728.9236052,-742.772705078125,766.3599853515625,0.27272728085517883
400000,1690040828.8362916,-754.375,770.6400146484375,0.25
408000,1690040938.2811918,-737.0908813476562,784.6199951171875,0.27272728085517883
416000,1690041042.6946733,-639.4091186523438,763.3800048828125,0.3636363744735718
424000,1690041143.0382135,-906.25,781.8400268554688,0.0
432000,1690041254.649211,-655.7115478515625,757.5499877929688,0.38461539149284363
440000,1690041359.7014434,-534.4318237304688,736.4000244140625,0.5454545617103577
448000,1690041460.5923126,-826.53125,753.510009765625,0.25
456000,1690041569.1336563,-705.9091186523438,771.77001953125,0.5454545617103577
464000,1690041676.8375065,-688.9091186523438,778.1900024414062,0.4545454680919647
472000,1690041787.0943136,-552.5,782.0700073242188,0.5384615659713745
480000,1690041893.0623944,-666.125,786.8499755859375,0.20000000298023224
488000,1690042003.454791,-482.26922607421875,744.5900268554688,0.6153846383094788
496000,1690042110.5062187,-753.8250122070312,736.489990234375,0.30000001192092896
504000,1690042224.9340153,-479.1499938964844,721.780029296875,0.6000000238418579
512000,1690042331.104374,-791.638916015625,738.280029296875,0.2222222238779068
520000,1690042437.0435333,-782.0499877929688,734.1099853515625,0.20000000298023224
528000,1690042538.8419726,-884.1875,742.8200073242188,0.125
536000,1690042646.611497,-565.772705078125,719.1300048828125,0.4545454680919647
544000,1690042754.7102976,-546.3653564453125,705.5599975585938,0.4615384638309479
552000,1690042867.2631238,-503.6785583496094,687.489990234375,0.5714285969734192
560000,1690042978.6862848,-603.0833129882812,696.4600219726562,0.5
568000,1690043084.0168107,-681.4545288085938,697.8300170898438,0.3636363744735718
576000,1690043190.285659,-627.8499755859375,703.47998046875,0.4000000059604645
584000,1690043299.18732,-585.4423217773438,693.260009765625,0.38461539149284363
592000,1690043403.729412,-749.0277709960938,693.219970703125,0.3333333432674408
600000,1690043512.4954574,-639.3181762695312,691.2000122070312,0.4545454680919647
608000,1690043621.830785,-615.3333129882812,700.3900146484375,0.5
616000,1690043732.1906326,-569.4807739257812,690.0599975585938,0.4615384638309479
624000,1690043849.0682116,-488.1029357910156,671.52001953125,0.7058823704719543
632000,1690043951.3231099,-681.6875,686.6400146484375,0.5
640000,1690044060.4292393,-696.1666870117188,711.030029296875,0.4166666567325592
648000,1690044171.8288174,-537.6346435546875,679.3099975585938,0.5384615659713745
656000,1690044278.5442286,-666.1500244140625,695.989990234375,0.4000000059604645
664000,1690044385.379371,-622.75,691.4500122070312,0.4000000059604645
672000,1690044493.224512,-690.2000122070312,692.5999755859375,0.30000001192092896
680000,1690044602.0510807,-566.5,681.8699951171875,0.5
688000,1690044709.338762,-683.7777709960938,708.3200073242188,0.3333333432674408
696000,1690044826.1541367,-357.9666748046875,709.8699951171875,0.6666666865348816
704000,1690044935.7305584,-487.44232177734375,701.6400146484375,0.5384615659713745
712000,1690045045.4476976,-525.2000122070312,701.2100219726562,0.4000000059604645
720000,1690045162.9636948,-305.75,699.27001953125,0.7333333492279053
728000,1690045288.1685517,-207.22500610351562,616.0,0.949999988079071
736000,1690045393.821008,-699.46875,617.780029296875,0.375
744000,1690045508.9766328,-324.1964416503906,621.0,0.6428571343421936
752000,1690045625.5966637,-289.05767822265625,603.0900268554688,0.692307710647583
760000,1690045744.8906376,-272.8333435058594,607.4600219726562,0.800000011920929
768000,1690045863.3428328,-194.65625,542.010009765625,1.0
776000,1690045985.7014914,-215.88235473632812,544.2100219726562,0.8823529481887817
784000,1690046115.4905937,-143.125,498.2900085449219,1.0
792000,1690046249.0168104,-170.78125,430.510009765625,0.875
800000,1690046381.9690921,-181.46153259277344,369.25,0.9230769276618958
808000,1690046518.8961096,-149.125,306.3599853515625,0.9642857313156128
816000,1690046644.9374294,-234.375,331.3999938964844,0.949999988079071
824000,1690046778.8510475,-214.58999633789062,329.3699951171875,0.9200000166893005
832000,1690046908.469857,-154.30999755859375,318.07000732421875,0.9599999785423279
840000,1690047047.725282,-186.48333740234375,331.5400085449219,0.9666666388511658
848000,1690047180.7594106,-140.27000427246094,307.8599853515625,1.0
856000,1690047334.6059663,-93.10713958740234,254.47000122070312,1.0
864000,1690047462.365032,-226.3000030517578,260.80999755859375,0.8799999952316284
872000,1690047605.4842455,-139.671875,249.67999267578125,0.96875
880000,1690047727.174795,-229.41250610351562,273.3599853515625,0.8999999761581421
888000,1690047873.1905308,-160.15908813476562,292.1000061035156,0.9696969985961914
896000,1690047998.9803097,-151.28408813476562,295.4800109863281,1.0
904000,1690048127.2173977,-233.93478393554688,316.04998779296875,0.8695651888847351
912000,1690048268.8565028,-150.8671875,288.1199951171875,0.96875
920000,1690048422.4374206,-109.78845977783203,278.2900085449219,1.0
928000,1690048552.1811428,-188.42391967773438,267.9100036621094,0.95652174949646
936000,1690048703.363672,-106.04486846923828,246.27999877929688,0.9743589758872986
944000,1690048832.9580457,-161.6875,257.6199951171875,0.9583333134651184
952000,1690048972.154028,-178.76724243164062,276.42999267578125,0.9655172228813171
960000,1690049108.759248,-131.17857360839844,270.6600036621094,1.0
968000,1690049250.827617,-153.71774291992188,289.44000244140625,1.0
976000,1690049394.3684866,-141.0,262.07000732421875,0.970588207244873
984000,1690049532.9473083,-170.89999389648438,263.2300109863281,1.0
992000,1690049681.5696604,-111.36428833007812,241.3300018310547,1.0
1000000,1690049829.176197,-113.90972137451172,235.35000610351562,1.0
1008000,1690049973.7653086,-116.40908813476562,212.69000244140625,1.0
1016000,1690050108.736802,-217.5892791748047,245.11000061035156,0.8928571343421936
1024000,1690050246.0407333,-162.58035278320312,252.30999755859375,0.9642857313156128
1032000,1690050396.2828188,-124.57051086425781,260.989990234375,0.9743589758872986
1040000,1690050545.7522361,-120.125,232.02999877929688,0.9736841917037964
1048000,1690050705.3750312,-94.9244155883789,200.91000366210938,1.0
1056000,1690050864.8230531,-87.4147720336914,183.8300018310547,1.0
1064000,1690051009.5453708,-90.33333587646484,197.57000732421875,1.0
1072000,1690051164.4810326,-125.8780517578125,213.6300048828125,0.9756097793579102
1080000,1690051321.1545784,-93.89375305175781,213.14999389648438,1.0
1088000,1690051466.3044574,-145.81817626953125,222.0399932861328,0.939393937587738
1096000,1690051626.1332538,-75.49431610107422,206.72999572753906,1.0
1104000,1690051764.6665957,-113.1500015258789,217.02999877929688,1.0
1112000,1690051913.2970352,-133.770263671875,215.75,0.9729729890823364
1120000,1690052062.886324,-106.3125,224.83999633789062,1.0
1128000,1690052207.3255482,-109.27205657958984,221.75,1.0
1136000,1690052349.6563842,-177.75,241.3300018310547,0.939393937587738
1144000,1690052499.1194222,-90.47972869873047,226.72000122070312,1.0
1152000,1690052644.3495905,-125.33087921142578,226.80999755859375,0.970588207244873
1160000,1690052787.358489,-144.09848022460938,218.47999572753906,0.939393937587738
1168000,1690052945.1335754,-135.34524536132812,228.6699981689453,0.976190447807312
1176000,1690053090.5910513,-103.1212158203125,219.47999572753906,1.0
1184000,1690053236.3611624,-125.06617736816406,227.94000244140625,0.970588207244873
1192000,1690053384.3841248,-131.86764526367188,233.82000732421875,1.0
1200000,1690053533.6824281,-93.0,234.1300048828125,1.0
1208000,1690053684.4306157,-138.7105255126953,230.22999572753906,0.9473684430122375
1216000,1690053832.5428553,-101.23026275634766,218.3000030517578,1.0
1224000,1690053978.7921436,-103.02083587646484,221.52999877929688,1.0
1232000,1690054135.1858015,-104.51875305175781,208.47999572753906,1.0
1240000,1690054279.095322,-105.17424011230469,217.02000427246094,1.0
1248000,1690054418.4042156,-104.51470947265625,212.27999877929688,0.970588207244873
1256000,1690054575.3707972,-126.43022918701172,219.22999572753906,0.9534883499145508
1264000,1690054718.6037998,-124.625,224.27999877929688,1.0
1272000,1690054872.12722,-105.20394897460938,223.16000366210938,1.0
1280000,1690055018.8953762,-90.27777862548828,215.24000549316406,1.0
1288000,1690055160.0291586,-152.4242401123047,219.07000732421875,0.939393937587738
1296000,1690055306.2258122,-137.0785675048828,236.02999877929688,1.0
1304000,1690055462.051782,-90.9312515258789,224.77000427246094,1.0
1312000,1690055615.1337357,-96.80769348144531,208.08999633789062,1.0
1320000,1690055774.1687953,-86.2965087890625,195.25,1.0
1328000,1690055930.3074076,-93.22618865966797,191.3699951171875,1.0
1336000,1690056085.7824786,-90.03658294677734,198.4600067138672,1.0
1344000,1690056240.86096,-90.62820434570312,192.97999572753906,1.0
1352000,1690056393.906953,-126.81756591796875,211.89999389648438,0.9729729890823364
1360000,1690056551.1796227,-85.48295593261719,202.86000061035156,1.0
1368000,1690056704.935382,-95.30128479003906,192.89999389648438,1.0
1376000,1690056855.9500873,-113.27631378173828,200.6199951171875,0.9736841917037964
1384000,1690057013.82763,-102.7202377319336,203.32000732421875,1.0
1392000,1690057177.7837703,-88.94999694824219,190.7899932861328,1.0
1400000,1690057337.9314635,-77.76162719726562,181.3300018310547,1.0
1408000,1690057490.9558938,-95.2371826171875,181.27000427246094,1.0
1416000,1690057639.65324,-122.99285888671875,206.8699951171875,0.9714285731315613
1424000,1690057789.3671796,-92.20625305175781,203.39999389648438,1.0
1432000,1690057941.6121366,-102.40131378173828,212.1199951171875,1.0
1440000,1690058098.0495517,-82.73837280273438,203.02000427246094,1.0
1448000,1690058254.758916,-85.21341705322266,189.30999755859375,1.0
1456000,1690058396.2206028,-119.53030395507812,206.77000427246094,0.9696969985961914
1464000,1690058540.1590755,-110.06944274902344,214.97999572753906,0.9722222089767456
1472000,1690058682.0250819,-102.63636016845703,228.75999450683594,1.0
1480000,1690058825.2373326,-149.8455810546875,239.52000427246094,0.9411764740943909
1488000,1690058976.4119825,-105.3851318359375,237.83999633789062,1.0
1496000,1690059113.3520029,-108.88392639160156,235.11000061035156,1.0
1504000,1690059266.9704397,-100.5128173828125,229.32000732421875,0.9487179517745972
1512000,1690059414.9160588,-117.61111450195312,229.14999389648438,0.9722222089767456
1520000,1690059572.0249217,-86.08536529541016,215.6300048828125,1.0
1528000,1690059729.6790278,-94.1477279663086,194.92999267578125,0.9772727489471436
1536000,1690059878.2164364,-106.92361450195312,206.4199981689453,1.0
1544000,1690060034.000208,-87.0875015258789,208.35000610351562,1.0
1552000,1690060177.018961,-121.26470947265625,218.86000061035156,0.970588207244873
1560000,1690060319.703729,-117.64705657958984,221.50999450683594,0.970588207244873
1568000,1690060472.4453516,-89.375,222.5500030517578,1.0
1576000,1690060620.0776656,-92.51351165771484,210.47000122070312,1.0
1584000,1690060776.3795607,-104.30357360839844,200.88999938964844,0.976190447807312
1592000,1690060933.7485502,-94.27381134033203,197.3699951171875,1.0
1600000,1690061097.5154488,-70.59444427490234,184.89999389648438,1.0
1608000,1690061261.3132603,-74.85555267333984,179.72999572753906,1.0
1616000,1690061411.8442886,-119.2628173828125,192.44000244140625,0.9743589758872986
1624000,1690061559.4726822,-85.54729461669922,187.9600067138672,1.0
1632000,1690061717.622247,-115.35713958740234,202.6300048828125,0.976190447807312
1640000,1690061867.4534671,-97.125,203.92999267578125,1.0
1648000,1690062026.934449,-83.57954406738281,194.67999267578125,1.0
1656000,1690062182.4213638,-97.57499694824219,205.91000366210938,1.0
1664000,1690062344.3604124,-79.2127685546875,187.94000244140625,1.0
1672000,1690062484.6005347,-120.3671875,189.27999877929688,0.96875
